record_id,site_id,check_date,dispensed,discrepancy,temp_excursion
IP0001,SITE001,2023-06-01,3,False,False
IP0002,SITE001,2023-06-08,2,False,False
IP0003,SITE001,2023-06-15,6,False,False
IP0004,SITE001,2023-06-22,4,False,False
IP0005,SITE001,2023-06-29,2,False,False
IP0006,SITE001,2023-07-06,9,False,False
IP0007,SITE001,2023-07-13,4,False,False
IP0008,SITE001,2023-07-20,3,False,False
IP0009,SITE001,2023-07-27,8,False,False
IP0010,SITE001,2023-08-03,1,False,False
IP0011,SITE001,2023-08-10,4,False,False
IP0012,SITE001,2023-08-17,8,False,False
IP0013,SITE001,2023-08-24,9,False,False
IP0014,SITE001,2023-08-31,8,False,False
IP0015,SITE001,2023-09-07,4,False,False
IP0016,SITE001,2023-09-14,6,False,False
IP0017,SITE001,2023-09-21,6,False,False
IP0018,SITE001,2023-09-28,4,False,False
IP0019,SITE001,2023-10-05,4,False,False
IP0020,SITE001,2023-10-12,8,False,False
IP0021,SITE001,2023-10-19,7,False,False
IP0022,SITE001,2023-10-26,8,False,False
IP0023,SITE001,2023-11-02,8,False,False
IP0024,SITE001,2023-11-09,5,False,False
IP0025,SITE001,2023-11-16,10,False,False
IP0026,SITE001,2023-11-23,8,False,False
IP0027,SITE001,2023-11-30,6,False,False
IP0028,SITE001,2023-12-07,3,False,False
IP0029,SITE001,2023-12-14,10,False,False
IP0030,SITE001,2023-12-21,9,False,False
IP0031,SITE001,2023-12-28,9,False,False
IP0032,SITE001,2024-01-04,10,False,False
IP0033,SITE001,2024-01-11,1,False,False
IP0034,SITE001,2024-01-18,4,False,False
IP0035,SITE001,2024-01-25,4,False,False
IP0036,SITE001,2024-02-01,3,False,False
IP0037,SITE001,2024-02-08,7,False,False
IP0038,SITE001,2024-02-15,8,False,False
IP0039,SITE001,2024-02-22,7,False,False
IP0040,SITE001,2024-02-29,2,False,False
IP0041,SITE001,2024-03-07,9,False,False
IP0042,SITE001,2024-03-14,7,False,False
IP0043,SITE001,2024-03-21,5,False,False
IP0044,SITE001,2024-03-28,1,False,False
IP0045,SITE001,2024-04-04,8,False,False
IP0046,SITE001,2024-04-11,1,False,False
IP0047,SITE001,2024-04-18,3,False,False
IP0048,SITE001,2024-04-25,6,False,False
IP0049,SITE001,2024-05-02,1,False,False
IP0050,SITE001,2024-05-09,6,False,False
IP0051,SITE001,2024-05-16,5,False,False
IP0052,SITE001,2024-05-23,10,False,False
IP0053,SITE002,2023-06-01,2,False,False
IP0054,SITE002,2023-06-08,1,False,False
IP0055,SITE002,2023-06-15,6,False,False
IP0056,SITE002,2023-06-22,6,False,False
IP0057,SITE002,2023-06-29,6,False,False
IP0058,SITE002,2023-07-06,2,False,False
IP0059,SITE002,2023-07-13,3,False,False
IP0060,SITE002,2023-07-20,2,False,False
IP0061,SITE002,2023-07-27,10,False,False
IP0062,SITE002,2023-08-03,4,False,False
IP0063,SITE002,2023-08-10,9,False,False
IP0064,SITE002,2023-08-17,2,False,False
IP0065,SITE002,2023-08-24,9,False,False
IP0066,SITE002,2023-08-31,9,False,False
IP0067,SITE002,2023-09-07,5,False,False
IP0068,SITE002,2023-09-14,2,False,False
IP0069,SITE002,2023-09-21,2,False,False
IP0070,SITE002,2023-09-28,5,False,False
IP0071,SITE002,2023-10-05,3,False,False
IP0072,SITE002,2023-10-12,8,False,False
IP0073,SITE002,2023-10-19,1,False,False
IP0074,SITE002,2023-10-26,9,False,False
IP0075,SITE002,2023-11-02,7,False,False
IP0076,SITE002,2023-11-09,5,False,False
IP0077,SITE002,2023-11-16,4,False,False
IP0078,SITE002,2023-11-23,6,False,False
IP0079,SITE002,2023-11-30,6,False,False
IP0080,SITE002,2023-12-07,9,False,False
IP0081,SITE002,2023-12-14,5,False,False
IP0082,SITE002,2023-12-21,5,False,False
IP0083,SITE002,2023-12-28,8,False,False
IP0084,SITE002,2024-01-04,1,False,False
IP0085,SITE002,2024-01-11,3,False,False
